"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2018-06-13T13:29:04.899+09:00"
"RESULT_INF"
"TOTAL_NUMBER","2070"
"FROM_NUMBER","1"
"TO_NUMBER","2070"
"TABLE_INF","0003142014"
"STAT_NAME","00200521","国勢調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","平成27年国勢調査 速報集計 抽出速報集計"
"TITLE","00110","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) 全国(市部・郡部)"
"CYCLE","-"
"SURVEY_DATE","201510"
"OPEN_DATE","2016-06-29"
"SMALL_AREA","0"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","2070"
"UPDATED_DATE","2016-09-01"
"STATISTICS_NAME_SPEC","平成27年国勢調査","速報集計","抽出速報集計","","",""
"TITLE_SPEC","","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人)","全国(市部・郡部)","",""
"NOTE","***","当該数値がないもの"
"NOTE","-","当該数値がないもの"
"VALUE"
"tab_code","表章項目","cat01_code","国籍_2015","cat02_code","男女別_2015","cat03_code","年齢_2015","area_code","地域（2015）","time_code","時間軸(年次)","unit","value"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0240","23歳","00002","全国郡部","2015000000","2015年","人","93600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0250","24歳","00000","全国","2015000000","2015年","人","1229600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0250","24歳","00001","全国市部","2015000000","2015年","人","1138800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0250","24歳","00002","全国郡部","2015000000","2015年","人","90700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0260","25歳","00000","全国","2015000000","2015年","人","1214400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0260","25歳","00001","全国市部","2015000000","2015年","人","1126800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0260","25歳","00002","全国郡部","2015000000","2015年","人","87700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0270","26歳","00000","全国","2015000000","2015年","人","1252300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0270","26歳","00001","全国市部","2015000000","2015年","人","1156300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0270","26歳","00002","全国郡部","2015000000","2015年","人","96000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0280","27歳","00000","全国","2015000000","2015年","人","1267700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0280","27歳","00001","全国市部","2015000000","2015年","人","1176600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0280","27歳","00002","全国郡部","2015000000","2015年","人","91100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0290","28歳","00000","全国","2015000000","2015年","人","1354600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0290","28歳","00001","全国市部","2015000000","2015年","人","1257800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0290","28歳","00002","全国郡部","2015000000","2015年","人","96700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0300","29歳","00000","全国","2015000000","2015年","人","1342300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0300","29歳","00001","全国市部","2015000000","2015年","人","1246800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0300","29歳","00002","全国郡部","2015000000","2015年","人","95500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0310","30歳","00000","全国","2015000000","2015年","人","1385300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0310","30歳","00001","全国市部","2015000000","2015年","人","1281100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0310","30歳","00002","全国郡部","2015000000","2015年","人","104200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0320","31歳","00000","全国","2015000000","2015年","人","1426300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0320","31歳","00001","全国市部","2015000000","2015年","人","1326600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0320","31歳","00002","全国郡部","2015000000","2015年","人","99700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0330","32歳","00000","全国","2015000000","2015年","人","1455500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0330","32歳","00001","全国市部","2015000000","2015年","人","1344200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0330","32歳","00002","全国郡部","2015000000","2015年","人","111200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0340","33歳","00000","全国","2015000000","2015年","人","1482900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0340","33歳","00001","全国市部","2015000000","2015年","人","1376000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0340","33歳","00002","全国郡部","2015000000","2015年","人","106900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0350","34歳","00000","全国","2015000000","2015年","人","1464500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0350","34歳","00001","全国市部","2015000000","2015年","人","1349400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0350","34歳","00002","全国郡部","2015000000","2015年","人","115100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0360","35歳","00000","全国","2015000000","2015年","人","1536900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0360","35歳","00001","全国市部","2015000000","2015年","人","1426000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0360","35歳","00002","全国郡部","2015000000","2015年","人","111000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0370","36歳","00000","全国","2015000000","2015年","人","1602100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0370","36歳","00001","全国市部","2015000000","2015年","人","1478400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0370","36歳","00002","全国郡部","2015000000","2015年","人","123700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0380","37歳","00000","全国","2015000000","2015年","人","1640800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0380","37歳","00001","全国市部","2015000000","2015年","人","1513700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0380","37歳","00002","全国郡部","2015000000","2015年","人","127100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0390","38歳","00000","全国","2015000000","2015年","人","1687300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0390","38歳","00001","全国市部","2015000000","2015年","人","1554800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0390","38歳","00002","全国郡部","2015000000","2015年","人","132500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0400","39歳","00000","全国","2015000000","2015年","人","1765600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0400","39歳","00001","全国市部","2015000000","2015年","人","1629200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0400","39歳","00002","全国郡部","2015000000","2015年","人","136400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0410","40歳","00000","全国","2015000000","2015年","人","1869100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0410","40歳","00001","全国市部","2015000000","2015年","人","1729600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0410","40歳","00002","全国郡部","2015000000","2015年","人","139400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0420","41歳","00000","全国","2015000000","2015年","人","1972500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0420","41歳","00001","全国市部","2015000000","2015年","人","1826200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0420","41歳","00002","全国郡部","2015000000","2015年","人","146300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0430","42歳","00000","全国","2015000000","2015年","人","1978900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0430","42歳","00001","全国市部","2015000000","2015年","人","1828800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0430","42歳","00002","全国郡部","2015000000","2015年","人","150100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0440","43歳","00000","全国","2015000000","2015年","人","1928900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0440","43歳","00001","全国市部","2015000000","2015年","人","1784300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0440","43歳","00002","全国郡部","2015000000","2015年","人","144600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0450","44歳","00000","全国","2015000000","2015年","人","1910600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0450","44歳","00001","全国市部","2015000000","2015年","人","1770300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0450","44歳","00002","全国郡部","2015000000","2015年","人","140300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0460","45歳","00000","全国","2015000000","2015年","人","1835300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0460","45歳","00001","全国市部","2015000000","2015年","人","1699800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0460","45歳","00002","全国郡部","2015000000","2015年","人","135500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0470","46歳","00000","全国","2015000000","2015年","人","1840000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0470","46歳","00001","全国市部","2015000000","2015年","人","1695200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0470","46歳","00002","全国郡部","2015000000","2015年","人","144800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0480","47歳","00000","全国","2015000000","2015年","人","1761800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0480","47歳","00001","全国市部","2015000000","2015年","人","1627700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0480","47歳","00002","全国郡部","2015000000","2015年","人","134100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0490","48歳","00000","全国","2015000000","2015年","人","1794800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0490","48歳","00001","全国市部","2015000000","2015年","人","1655400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0490","48歳","00002","全国郡部","2015000000","2015年","人","139400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0500","49歳","00000","全国","2015000000","2015年","人","1382300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0500","49歳","00001","全国市部","2015000000","2015年","人","1270700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0500","49歳","00002","全国郡部","2015000000","2015年","人","111600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0510","50歳","00000","全国","2015000000","2015年","人","1697500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0510","50歳","00001","全国市部","2015000000","2015年","人","1561900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0510","50歳","00002","全国郡部","2015000000","2015年","人","135600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0520","51歳","00000","全国","2015000000","2015年","人","1600900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0520","51歳","00001","全国市部","2015000000","2015年","人","1471600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0520","51歳","00002","全国郡部","2015000000","2015年","人","129300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0530","52歳","00000","全国","2015000000","2015年","人","1578400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0530","52歳","00001","全国市部","2015000000","2015年","人","1446500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0530","52歳","00002","全国郡部","2015000000","2015年","人","131800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0540","53歳","00000","全国","2015000000","2015年","人","1526300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0540","53歳","00001","全国市部","2015000000","2015年","人","1395000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0540","53歳","00002","全国郡部","2015000000","2015年","人","131200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0550","54歳","00000","全国","2015000000","2015年","人","1479300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0550","54歳","00001","全国市部","2015000000","2015年","人","1342100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0550","54歳","00002","全国郡部","2015000000","2015年","人","137200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0560","55歳","00000","全国","2015000000","2015年","人","1504500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0560","55歳","00001","全国市部","2015000000","2015年","人","1363200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0560","55歳","00002","全国郡部","2015000000","2015年","人","141300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0570","56歳","00000","全国","2015000000","2015年","人","1523800"
